time,open,high,low,close,tick_volume,spread,real_volume,anchor_swing_high,anchor_swing_low,anchor_midpoint,bias,setup_id,setup_dir,sweep_time,sweep_price,bos_time,bos_price,entry_level,sl_level,tp_level,fvg_low,fvg_high,entry_in_fvg
2026-04-15 22:45:00,4797.11,4801.7,4794.46,4795.66,2672,12,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-15 23:00:00,4796.12,4796.69,4792.62,4793.75,1612,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-15 23:15:00,4793.71,4796.03,4793.25,4793.96,1150,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-15 23:30:00,4793.72,4793.72,4789.98,4790.59,1192,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-15 23:45:00,4790.59,4793.19,4787.73,4790.67,1533,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-16 01:00:00,4797.42,4799.47,4790.83,4792.08,1577,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-16 01:15:00,4792.09,4802.3,4791.99,4801.25,1748,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-16 01:30:00,4801.34,4803.54,4799.05,4801.17,1289,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-16 01:45:00,4801.17,4812.09,4801.17,4807.5,1595,23,0,4871.25,4786.12,4828.6849999999995,1,,,,,,,,,,,,False
2026-04-16 02:00:00,4807.5,4813.28,4807.4,4812.48,1497,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 02:15:00,4812.72,4815.97,4812.27,4815.12,1370,17,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 02:30:00,4814.86,4824.25,4814.43,4823.26,1851,17,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 02:45:00,4823.2,4826.78,4821.94,4823.54,1826,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 03:00:00,4823.54,4831.26,4823.54,4829.89,2007,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 03:15:00,4829.89,4830.99,4822.24,4824.65,2000,16,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 03:30:00,4824.66,4837.61,4820.62,4832.46,2020,16,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 03:45:00,4832.53,4837.47,4830.72,4833.25,1978,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 04:00:00,4833.19,4836.43,4828.45,4829.82,2818,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 04:15:00,4829.78,4830.29,4822.68,4823.75,2398,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 04:30:00,4823.75,4825.64,4811.44,4815.95,2717,15,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 04:45:00,4815.95,4822.22,4815.25,4817.81,2436,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
