Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,max_drawdown,sharpe_ratio,ann_std,trades_per_dd,dd_episodes,final_balance
114,0.65,15,10,1107,39.39%,26251.53,-58.11%,1.92,36.11%,24.065217391304348,46,36251.53
115,0.7,7,3,3390,38.82%,134862843.02,-50.00%,6.51,76.30%,24.565217391304348,138,134872843.02
116,0.75,10,5,2290,37.07%,413711661.92,-33.58%,7.34,75.18%,26.32183908045977,87,413721661.92
117,0.65,15,7,1556,39.52%,55634.18,-31.01%,2.3,44.26%,26.82758620689655,58,65634.18
118,0.65,5,3,3492,40.38%,1518828.28,-59.46%,4.03,66.70%,27.714285714285715,126,1528828.28
119,0.618,7,3,3300,41.24%,97243.1,-54.62%,2.21,60.99%,28.94736842105263,114,107243.1
120,0.65,7,3,3393,40.23%,1129090.61,-47.84%,3.84,66.12%,30.56756756756757,111,1139090.61
121,0.618,15,5,2140,41.92%,57831.69,-37.88%,2.14,49.29%,31.014492753623188,69,67831.69
122,0.618,12,3,3283,39.87%,22747.03,-63.18%,1.27,59.25%,33.845360824742265,97,32747.03
123,0.618,15,7,1557,42.13%,34103.8,-38.85%,1.96,41.44%,34.6,45,44103.8
124,0.618,5,3,3377,41.58%,140448.19,-55.74%,2.48,60.83%,38.375,88,150448.19
125,0.618,10,3,3263,40.36%,39333.83,-61.59%,1.6,59.98%,43.50666666666667,75,49333.83
