timestamp,symbol,ticket,type,lots,entry_price,sl,tp,htf_trend,entry_level_theoretical,pnl,is_win,status
2026-03-27T02:21:58.351466,BTCUSD,272157221,BUY_LIMIT,0.55,68730.0,68548.8,69395.54,0,68730.0,0.00,False,CANCELED
2026-03-27T02:46:00.123765,BTCUSD,272166456,BUY_LIMIT,1.16,68635.16,68548.8,68952.34,0,68635.16,0.00,False,CANCELED
2026-03-27T03:00:01.362929,BTCUSD,272172063,BUY_LIMIT,1.21,68648.75,68566.09,68952.34,0,68648.75,-100.02,False,CLOSED
2026-03-27T04:35:05.322141,BTCUSD,272209817,BUY_LIMIT,1.01,68570.64,68471.84,68933.5,0,68570.64,-99.79,False,CLOSED
2026-03-30T14:36:34.444941,BTCUSD,274006942,BUY_LIMIT,0.53,65901.08,65712.34,66594.31,0,65901.08,0.00,False,CANCELED
2026-03-30T14:37:05.717255,XAUUSD,274007837,SELL_LIMIT,0.28,4536.99,4540.6,4523.74,0,4536.99,0.00,False,CANCELED
2026-03-30T14:45:06.545289,XAUUSD,274022569,SELL_LIMIT,0.31,4537.36,4540.6,4525.47,0,4537.36,-100.44,False,CLOSED
2026-03-30T14:49:06.931708,XAUUSD,274032414,SELL_LIMIT,0.31,4537.36,4540.6,4525.47,0,4537.36,-100.44,False,CLOSED
2026-03-30T14:54:35.784165,BTCUSD,274039728,BUY_LIMIT,0.77,67402.81,67272.21,67882.51,0,67402.81,0.00,False,CANCELED
2026-03-30T14:56:07.753816,XAUUSD,274042223,SELL_LIMIT,0.31,4537.36,4540.6,4525.47,0,4537.36,-100.44,False,CLOSED
2026-03-30T15:00:36.529165,BTCUSD,274048522,BUY_LIMIT,0.72,67410.19,67272.21,67916.99,0,67410.19,-99.35,False,CLOSED
2026-03-30T15:07:08.423612,XAUUSD,274057733,SELL_LIMIT,0.31,4537.36,4540.6,4525.47,0,4537.36,368.59,True,CLOSED
2026-03-30T15:23:09.177614,XAUUSD,274080142,SELL_LIMIT,0.31,4537.36,4540.6,4525.47,0,4537.36,0.00,False,CANCELED
2026-03-30T15:30:09.954573,XAUUSD,274089326,SELL_LIMIT,0.08,4568.78,4580.57,4525.47,0,4568.78,-94.32,False,CLOSED
2026-03-31T02:53:59.205606,BTCUSD,274560879,BUY_LIMIT,0.77,66468.25,66338.81,66943.67,0,66468.25,0.00,False,CANCELED
2026-03-31T04:00:05.112358,BTCUSD,274594386,BUY_LIMIT,1.0,66574.71,66474.25,66943.67,0,66574.71,0.00,False,CANCELED
2026-03-31T05:15:09.040693,BTCUSD,274629512,BUY_LIMIT,0.25,66875.04,66474.25,68347.11,0,66875.04,-100.20,False,CLOSED
2026-03-31T05:30:52.385056,XAUUSD,274640837,SELL_LIMIT,0.03,4590.17,4619.46,4482.59,0,4590.17,-87.87,False,CLOSED
2026-03-31T14:01:29.651619,BTCUSD,275108364,BUY_LIMIT,0.3,66217.16,65884.35,67439.56,0,66217.16,0.00,False,CANCELED
2026-03-31T15:00:13.479437,BTCUSD,275207929,BUY_LIMIT,0.49,66087.25,65884.35,66832.47,0,66087.25,0.00,False,CANCELED
2026-03-31T16:00:16.942130,BTCUSD,275303767,BUY_LIMIT,1.2,66525.53,66441.96,66832.47,0,66525.53,,,PENDING
