Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,max_drawdown,sharpe_ratio,ann_std,dd_episodes,final_balance,composite_score
77,0.65,5,3,785,41.40%,29194.16,-59.46%,4.37,67.46%,12,39194.16,0.33615384615384614
78,0.786,12,3,740,38.51%,3000271.06,-35.73%,10.93,111.20%,33,3010271.06,0.3214705882352941
79,0.786,10,3,740,38.51%,3000271.06,-35.73%,10.93,111.20%,33,3010271.06,0.3214705882352941
80,0.75,12,3,755,39.34%,659289.01,-32.47%,9.15,97.58%,28,669289.01,0.31551724137931036
81,0.75,10,3,755,39.34%,659289.01,-32.47%,9.15,97.58%,28,669289.01,0.31551724137931036
82,0.618,7,5,461,47.29%,19093.64,-27.33%,4.65,48.19%,14,29093.64,0.31
83,0.65,7,15,142,46.48%,6000.14,-12.40%,4.0,24.07%,12,16000.14,0.3076923076923077
84,0.618,12,15,166,50.00%,6793.72,-11.29%,4.23,25.11%,13,16793.72,0.30214285714285716
85,0.618,10,15,166,50.00%,6793.72,-11.29%,4.23,25.11%,13,16793.72,0.30214285714285716
86,0.75,5,3,758,38.52%,514538.95,-64.85%,8.98,93.41%,29,524538.95,0.29933333333333334
87,0.7,7,3,708,42.37%,157608.34,-23.61%,8.34,70.71%,27,167608.34,0.2978571428571429
88,0.75,5,5,515,37.67%,113896.52,-21.58%,7.66,68.83%,27,123896.52,0.2735714285714286
89,0.65,7,5,476,45.80%,32244.06,-28.68%,5.98,50.13%,22,42244.06,0.26
90,0.786,15,3,622,36.17%,609227.45,-35.73%,8.73,100.80%,33,619227.45,0.25676470588235295
91,0.75,15,3,640,36.88%,179776.52,-32.47%,7.21,86.92%,28,189776.52,0.24862068965517242
92,0.65,7,3,730,44.11%,52003.92,-24.48%,5.97,64.44%,24,62003.92,0.23879999999999998
93,0.618,15,15,139,48.20%,4509.19,-11.29%,3.25,23.60%,13,14509.19,0.23214285714285715
94,0.618,5,15,169,45.56%,3734.14,-12.63%,2.63,25.11%,11,13734.14,0.21916666666666665
95,0.75,5,15,157,36.31%,10275.47,-14.82%,4.33,33.77%,19,20275.47,0.2165
96,0.65,10,5,483,43.89%,23195.12,-28.68%,5.06,49.70%,24,33195.12,0.2024
97,0.65,12,5,483,43.89%,23195.12,-28.68%,5.06,49.70%,24,33195.12,0.2024
98,0.75,5,7,398,37.69%,60283.28,-19.58%,6.06,67.98%,30,70283.28,0.19548387096774192
99,0.7,5,3,745,39.19%,79571.49,-62.11%,6.61,69.99%,33,89571.49,0.19441176470588237
100,0.618,10,5,466,45.92%,14925.03,-27.33%,4.03,47.91%,20,24925.03,0.1919047619047619
101,0.618,12,5,466,45.92%,14925.03,-27.33%,4.03,47.91%,20,24925.03,0.1919047619047619
102,0.7,10,5,475,40.84%,42869.74,-31.50%,6.07,57.41%,33,52869.74,0.17852941176470588
103,0.7,12,5,475,40.84%,42869.74,-31.50%,6.07,57.41%,33,52869.74,0.17852941176470588
104,0.7,10,3,733,39.97%,93395.59,-30.16%,6.64,74.49%,37,103395.59,0.17473684210526316
105,0.7,12,3,733,39.97%,93395.59,-30.16%,6.64,74.49%,37,103395.59,0.17473684210526316
106,0.786,5,7,404,36.14%,136342.55,-20.59%,7.18,79.05%,42,146342.55,0.1669767441860465
107,0.618,7,3,682,45.75%,26941.44,-23.28%,4.67,59.49%,29,36941.44,0.15566666666666668
108,0.7,5,7,385,37.66%,15588.7,-24.98%,3.81,52.62%,24,25588.7,0.1524
109,0.65,15,5,409,41.56%,11140.02,-28.68%,3.56,44.65%,24,21140.02,0.1424
110,0.7,15,5,401,38.40%,19575.06,-31.50%,4.5,50.75%,33,29575.06,0.1323529411764706
111,0.7,15,3,614,37.79%,35354.08,-30.16%,4.93,65.42%,37,45354.08,0.12973684210526315
112,0.618,15,5,384,43.49%,6665.7,-27.33%,2.62,42.01%,20,16665.7,0.12476190476190477
113,0.618,12,3,709,43.86%,17436.55,-27.01%,3.61,60.69%,33,27436.55,0.10617647058823529
114,0.618,10,3,709,43.86%,17436.55,-27.01%,3.61,60.69%,33,27436.55,0.10617647058823529
115,0.65,12,3,767,42.24%,35251.6,-26.44%,4.76,68.12%,48,45251.6,0.09714285714285714
116,0.65,10,3,767,42.24%,35251.6,-26.44%,4.76,68.12%,48,45251.6,0.09714285714285714
117,0.65,5,5,505,41.98%,16180.78,-24.99%,3.97,51.51%,40,26180.78,0.09682926829268293
118,0.7,5,5,497,37.63%,23360.37,-26.37%,4.44,57.82%,56,33360.37,0.07789473684210527
119,0.65,15,3,645,40.31%,14965.33,-26.44%,3.36,59.28%,45,24965.33,0.07304347826086956
120,0.65,5,10,237,39.66%,3516.76,-56.79%,1.79,37.23%,25,13516.76,0.06884615384615385
121,0.618,5,7,365,45.21%,9043.39,-18.65%,3.12,44.15%,45,19043.39,0.06782608695652174
122,0.65,5,15,141,41.13%,2871.76,-15.43%,2.22,23.87%,33,12871.76,0.06529411764705884
123,0.618,15,3,586,41.81%,6870.08,-27.01%,2.25,52.12%,34,16870.08,0.06428571428571428
124,0.618,5,5,482,43.78%,9398.32,-22.98%,2.88,50.00%,49,19398.32,0.0576
125,0.65,5,7,377,41.38%,9263.06,-22.97%,2.98,47.45%,53,19263.06,0.055185185185185184
