entry_time,exit_time,entry,tp_price,sl_price,exit,result,exit_reason,duration,duration_minutes,pnl
2025-03-24 16:00:00,2025-03-24 17:00:00,87248.308,87851.17,87084.17,87851.17,Win,TP,0 days 01:00:00,60.0,367.2897196261503
2025-03-24 18:00:00,2025-03-25 01:15:00,87844.0566,88725.87,87603.97,87603.97,Loss,SL,0 days 07:15:00,435.0,-100.0
2025-03-25 03:00:00,2025-03-25 04:15:00,87257.6196,88221.57,86995.17,86995.17,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-03-25 04:15:00,2025-03-25 04:30:00,87130.6106,87628.07,86995.17,86995.17,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-25 04:30:00,2025-03-25 06:00:00,86932.1456,87628.07,86742.67,86742.67,Loss,SL,0 days 01:30:00,90.0,-100.0
2025-03-25 07:15:00,2025-03-25 16:15:00,86542.36820000001,87628.07,86246.77,87628.07,Win,TP,0 days 09:00:00,540.0000000000001,367.28971962615714
2025-03-25 16:45:00,2025-03-25 17:30:00,87183.0202,87968.47,86969.17,87968.47,Win,TP,0 days 00:45:00,45.0,367.28971962616794
2025-03-25 19:45:00,2025-03-25 20:00:00,87701.7452,88202.27,87565.47,88202.27,Win,TP,0 days 00:15:00,15.0,367.28971962615776
2025-03-25 21:15:00,2025-03-25 21:30:00,87715.8264,88268.07,87565.47,87565.47,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-25 21:30:00,2025-03-25 21:45:00,87715.8264,88268.07,87565.47,87565.47,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-25 23:45:00,2025-03-26 00:45:00,87892.507,88482.4,87731.9,87731.9,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-03-26 02:00:00,2025-03-26 06:15:00,87372.85882000001,88482.4,87070.77,87070.77,Loss,SL,0 days 04:15:00,255.00000000000003,-100.0
2025-03-26 07:15:00,2025-03-26 09:45:00,87155.3558,87842.87,86968.17,87842.87,Win,TP,0 days 02:30:00,150.0,367.28971962615026
2025-03-26 12:45:00,2025-03-26 15:15:00,87868.0208,88239.17,87766.97,87766.97,Loss,SL,0 days 02:30:00,150.0,-100.0
2025-03-26 15:15:00,2025-03-26 15:30:00,87863.7194,88219.07,87766.97,87766.97,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-26 17:15:00,2025-03-26 19:45:00,86689.4246,87855.77,86371.87,86371.87,Loss,SL,0 days 02:30:00,150.0,-100.0
2025-03-26 19:45:00,2025-03-26 21:45:00,86477.4072,87003.87,86334.07,86334.07,Loss,SL,0 days 02:00:00,120.0,-100.0
2025-03-26 21:45:00,2025-03-26 22:00:00,86430.0062,86782.37,86334.07,86334.07,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-27 00:30:00,2025-03-27 02:00:00,86811.74782,87342.4,86667.27,86667.27,Loss,SL,0 days 01:30:00,90.0,-100.0
2025-03-27 06:15:00,2025-03-27 07:30:00,87445.1752,87705.97,87374.17,87374.17,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-03-27 07:30:00,2025-03-27 08:00:00,87430.6874,87638.27,87374.17,87374.17,Loss,SL,0 days 00:30:00,30.0,-100.0
2025-03-27 08:00:00,2025-03-27 08:15:00,87430.6874,87638.27,87374.17,87374.17,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-27 08:45:00,2025-03-27 10:00:00,87302.7266,87638.27,87211.37,87211.37,Loss,SL,0 days 01:15:00,75.0,-99.99999999999999
2025-03-27 10:00:00,2025-03-27 11:30:00,87257.2358,87488.87,87194.17,87488.87,Win,TP,0 days 01:30:00,90.0,367.2897196261883
2025-03-27 11:45:00,2025-03-27 13:45:00,87277.4222,87546.47,87204.17,87204.17,Loss,SL,0 days 02:00:00,120.0,-100.0
2025-03-27 16:30:00,2025-03-27 17:30:00,86012.13568,87065.47,85725.35,87065.47,Win,TP,0 days 01:00:00,60.0,367.2897196261652
2025-03-27 19:00:00,2025-03-28 00:30:00,86871.92016000001,87512.07,86697.63,87512.07,Win,TP,0 days 05:30:00,330.0,367.28971962615856
2025-03-28 03:00:00,2025-03-28 03:30:00,87047.89238,87679.97,86875.8,86875.8,Loss,SL,0 days 00:30:00,30.0,-100.0
2025-03-28 05:45:00,2025-03-28 06:00:00,86969.5796,87454.07,86837.67,86837.67,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-28 09:30:00,2025-03-28 09:45:00,85854.9876,86199.57,85761.17,85761.17,Loss,SL,0 days 00:15:00,15.0,-99.99999999999999
2025-03-28 12:45:00,2025-03-28 13:45:00,85038.6356,85369.07,84948.67,84948.67,Loss,SL,0 days 01:00:00,60.0,-100.00000000000001
2025-03-28 13:45:00,2025-03-28 14:00:00,85038.6356,85369.07,84948.67,84948.67,Loss,SL,0 days 00:15:00,15.0,-100.00000000000001
2025-03-28 14:30:00,2025-03-28 15:15:00,84883.4006,85369.07,84751.17,85369.07,Win,TP,0 days 00:45:00,45.0,367.28971962619136
2025-03-28 15:30:00,2025-03-28 17:00:00,84982.24806,85527.96,84833.67,84833.67,Loss,SL,0 days 01:30:00,90.0,-99.99999999999999
2025-03-28 18:15:00,2025-03-28 19:00:00,84250.6536,85514.07,83906.67,83906.67,Loss,SL,0 days 00:45:00,45.0,-100.0
2025-03-28 20:00:00,2025-03-29 02:00:00,83737.3012,84476.77,83535.97,84476.77,Win,TP,0 days 06:00:00,360.0,367.2897196261684
2025-03-29 04:15:00,2025-03-29 05:15:00,84241.88786,84572.0,84152.01,84152.01,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-03-29 05:15:00,2025-03-29 05:30:00,84241.88786,84572.0,84152.01,84152.01,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-03-29 20:15:00,2025-03-29 22:45:00,81814.025,82629.5,81592.0,82629.5,Win,TP,0 days 02:30:00,150.0,367.2897196261805
2025-03-29 22:45:00,2025-03-29 23:00:00,82249.19148,82622.4,82147.58,82622.4,Win,TP,0 days 00:15:00,15.0,367.2897196261962
